ZipCode,TduCompany,RepCompany,Plan Name,Price/kWh 500,Price/kWh 1000,Price/kWh 2000,Plan Type,Rate Type,Term Value,Prepaid,Time Of Use,Plan Details,Pricing Details,Renewable Perc,Enroll Phone,Fact Sheet,Terms of Service,YRAC,Ordering Info,New Customer,Min Usage Fees/Credits,Rating
76107,ONCOR ELECTRIC DELIVERY COMPANY,GREEN MOUNTAIN ENERGY COMPANY,Pollution Free e-Plus 36 Choice,0.181,0.172,0.167,1,Fixed,36,False,False,,Cancellation Fee: $395.00,100,(844) 854-2260,https://signup.greenmountain.com/defl/G1F00172600839B.pdf,https://signup.greenmountainenergy.com/files/09017518836757a5.pdf,https://signup.greenmountain.com/files/0901751883592af0.pdf,https://shop.greenmountainenergy.com/texas/home-energy-solutions/products/?tdspCodeCCS=D0002&fromLP=ptc&txtPromocode=WA0TEZ&sid=APTC_1726590650&utm_campaign=PTC&utm_medium=PTC_&utm_source=PowerToChoose,False,False,3
76107,ONCOR ELECTRIC DELIVERY COMPANY,AE TEXAS,Smart Secure 36,0.149,0.145,0.143,1,Fixed,36,False,False,,Cancellation Fee: $20/month remaining,35,(855) 478-4998,https://enroll.aetexasco.com/EmailHTML/efl.aspx?RateID=1942&BrandID=1&PromoCodeID=114,https://enroll.aetexasco.com/App_Assets/EnrollmentFiles/TOS.pdf,https://enroll.aetexasco.com/App_Assets/EnrollmentFiles/YRAC.pdf,https://enroll.aetexasco.com/Enrollment/Default.aspx?&promoCode=AETXPTC1,True,False,2
76107,ONCOR ELECTRIC DELIVERY COMPANY,CleanSky Energy,Embrace Green 12 - New Customer Special,0.134,0.13,0.128,1,Fixed,12,False,False,,Cancellation Fee: $150.00,100,(888) 733-5557,https://rates.titangasandpower.com/Frontend/DownloadDoc?path=713d3819-505d-49df-bfd8-be71a9c6d2c7.html&id_plan=556473,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=39d11e90-f8dc-4862-9460-6bad732461ec.pdf&id_plan=255158,https://rates.titangasandpower.com/Frontend/DownloadDoc?path=9dd4508a-09d9-4c6c-817d-24d53bdae46c.pdf&id_plan=315698,https://signup.cleanskyenergy.com/rates?utility_id=113&promocode=PTCHOOSETX,True,False,5
76107,ONCOR ELECTRIC DELIVERY COMPANY,SPARK ENERGY LLC,Choose 12,0.146,0.142,0.14,1,Fixed,12,False,False,,Cancellation Fee: $100,35,(833) 488-3132,https://www.sparkenergy.com/products-and-services/?getproductpdf=1&PromotionCode=PTC&ProductID=148468&type=EFL&title=Electricity+Facts+Label&language=english,https://www.sparkenergy.com/products-and-services/?getproductpdf=1&PromotionCode=PTC&ProductID=148473&type=TOS&title=Terms+of+Service,https://www.sparkenergy.com/products-and-services/?getproductpdf=1&PromotionCode=PTC&ProductID=148482&type=YRAC&title=Your+Rights+as+a+Customer&language=english,https://www.sparkenergy.com/products-and-services/?PromotionCode=PTC,True,False,2
76107,ONCOR ELECTRIC DELIVERY COMPANY,TXU ENERGY,Simple Value 12,0.176,0.162,0.155,1,Fixed,12,False,False,,Cancellation Fee: $150.00,3,(855) 847-6135,https://residential.txu.com/Handlers/PDFGenerator.ashx?comProdId=ONXSIMVL1212BK&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ONCOR,https://residential.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,https://residential.txu.com/-/media/Files/Marketing/Residential/Other-PDFs/YRAC,https://www.txu.com/ptc/simplevalue12,True,False,5
76107,ONCOR ELECTRIC DELIVERY COMPANY,BKV Energy,Daisy 15,0.142,0.138,0.136,1,Fixed,15,False,False,,Cancellation Fee: $20/remaining month.,29,(855) 258-4797,https://enroll.bkvenergy.com/Home/EFL?productCode=RN00001178&promo=&term=15,https://enroll.bkvenergy.com/Home/TOS?productId=34657,https://enroll.bkvenergy.com/Home/YRAC?productId=34657,https://enroll.bkvenergy.com/?promo=PTCALL0001,True,False,2
76107,ONCOR ELECTRIC DELIVERY COMPANY,BKV Energy,Daisy 12,0.142,0.138,0.136,1,Fixed,12,False,False,,Cancellation Fee: $20/remaining month.,29,(855) 258-4797,https://enroll.bkvenergy.com/Home/EFL?productCode=RN00001189&promo=&term=12,https://enroll.bkvenergy.com/Home/TOS?productId=35010,https://enroll.bkvenergy.com/Home/YRAC?productId=35010,https://enroll.bkvenergy.com/?promo=PTCALL0001,True,False,2
76107,ONCOR ELECTRIC DELIVERY COMPANY,Abundance Energy,Straight Forward 6,0.131,0.121,0.117,1,Fixed,6,False,False,,Cancellation Fee: $150.00,25,(833) 495-0127,https://api.quextenergy.onproton.io/enrollment/document?template_bucket=abundance-product-templates&template_file=tx/Straightforward_EFL.docx&rate_id=10036,https://abundance-public-docs.s3.us-west-2.amazonaws.com/tos/abundance_energy_tos_v3_01312024.pdf,https://abundance-public-docs.s3.us-west-2.amazonaws.com/yrac/abundance_energy_yrac_v4_01312024.pdf,https://join.abundanceenergy.com/?promoCode=PTC,True,False,3
76107,ONCOR ELECTRIC DELIVERY COMPANY,TRIEAGLE ENERGY LP,Simple Savings 28,0.157,0.152,0.149,1,Fixed,28,False,False,,Cancellation Fee: $20.00 per month left in term,3,(833) 943-2764,https://shopping.trieagleenergy.com/PDFGenerator?formType=EnergyFactsLabel&comProdId=ONXTESMSAVC28AA&tdsp=ONCOR&lang=en&custClass=Residential,https://shopping.trieagleenergy.com/PDFGenerator?formType=TermsOfServiceAgreement&comProdId=ONXTESMSAVC28AA&tdsp=ONCOR&lang=en&custClass=Residential,https://shopping.trieagleenergy.com/PDFGenerator?formType=YourRightsAsCustomer&comProdId=ONXTESMSAVC28AA&tdsp=ONCOR&lang=en&custClass=Residential,https://www.trieagleenergy.com/PTC,False,False,4
76107,ONCOR ELECTRIC DELIVERY COMPANY,DIRECT ENERGY,Autopay Texas 36,0.178,0.169,0.164,1,Fixed,36,False,False,,Cancellation Fee: $295.00,24,(833) 894-5580,https://documents.directenergy.com/dynamic/efl/D1F00160133867C.pdf,https://documents.directenergy.com/dynamic/dms/0901751883545e9b.pdf?latest=1,https://documents.directenergy.com/dynamic/dms/090175188358df5c.pdf?latest=1,https://shop.directenergy.com/tx/product-chart-tabs?tdspCode=D0002&promo_code=WHPGCD&sid=APTC_1726591058&utm_campaign=PTC&utm_medium=PTC_&utm_source=PowerToChoose,True,False,4
