plan_id,plan_name,rep_name,tdu_area,rate_type,term_months,price_kwh_500,price_kwh_1000,price_kwh_2000,base_charge_monthly,early_termination_fee,renewable_pct,is_prepaid,is_tou,special_terms,promotion_details,fees_credits,min_usage_fees,language,efl_url,enrollment_url,terms_url
618,Residential Electricity... Plain and simple.,NEC Co-op Energy,AEP_CENTRAL,VARIABLE,0,16.0,14.899999999999999,14.399999999999999,0.0,0.0,17,False,False,"$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.",False,FALSE,FALSE,English,https://neccoopenergy.com/wp-content/uploads/2025/12/EFL-1-1-26-RESIDENTIAL-AEP-TCC.pdf,https://neccoopenergy.com/residential-service/,https://neccoopenergy.com/wp-content/uploads/2024/08/NEC-Co-op-Energy-Residential-IOU-Variable-Product-TOS-ENG-rev-4-18-24-added-Lubbock74.pdf
11677,Smart Simple 36,CIRRO ENERGY,AEP_CENTRAL,FIXED,36,15.5,15.2,15.0,0.0,395.0,24,False,False,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",False,FALSE,FALSE,English,https://www.cirroenergy.com/defl/M1F00181603188A.pdf,https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None,https://www.cirroenergy.com/files/09017518836818ee.pdf
11682,Smart Simple 12,CIRRO ENERGY,AEP_CENTRAL,FIXED,12,14.799999999999999,14.499999999999998,14.299999999999999,0.0,150.0,24,False,False,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",False,FALSE,FALSE,English,https://www.cirroenergy.com/defl/M1F00181603192A.pdf,https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None,https://www.cirroenergy.com/files/09017518836818ee.pdf
13192,Champ Saver-16,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,16,14.7,14.399999999999999,14.2,0.0,250.0,26,False,False,,False,FALSE,FALSE,English,https://docs.championenergyservices.com/ExternalDocs?planname=PN2409&state=TX&language=EN,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf
16521,Champ Saver-12,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,12,15.2,14.899999999999999,14.7,0.0,150.0,26,False,False,,False,FALSE,FALSE,English,https://docs.championenergyservices.com/ExternalDocs?planname=PN2413&state=TX&language=EN,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf
16523,Champ Saver-24,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,24,15.1,14.799999999999999,14.6,0.0,250.0,26,False,False,,False,FALSE,FALSE,English,https://docs.championenergyservices.com/ExternalDocs?planname=PN2418&state=TX&language=EN,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf
16591,Champ Saver-12,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,12,15.2,14.899999999999999,14.7,0.0,150.0,26,False,False,,False,FALSE,FALSE,Spanish,https://docs.championenergyservices.com/ExternalDocs?planname=PN2413&state=TX&language=ES,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424-ES-US.pdf
16595,Champ Saver-24,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,24,15.1,14.799999999999999,14.6,0.0,250.0,26,False,False,,False,FALSE,FALSE,Spanish,https://docs.championenergyservices.com/ExternalDocs?planname=PN2418&state=TX&language=ES,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424-ES-US.pdf
17375,Saver 12,Discount Power,AEP_CENTRAL,FIXED,12,14.7,14.399999999999999,14.2,0.0,150.0,24,False,False,"Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135.",False,FALSE,FALSE,English,https://www.discountpowertx.com/defl/M1F00181603372A.pdf,https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None,https://www.discountpowertx.com/files/0901751883681d09.pdf
18370,Smart Simple 24,CIRRO ENERGY,AEP_CENTRAL,FIXED,24,15.2,14.899999999999999,14.7,0.0,295.0,24,False,False,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",False,FALSE,FALSE,English,https://www.cirroenergy.com/defl/M1F00181603172A.pdf,https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None,https://www.cirroenergy.com/files/09017518836818ee.pdf
